제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
BOEING,Boeing 757-300,B753,753,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1998-08-02,55,80,서비스중,2,295,54.4,13.6,6295
BOEING,Boeing 767-200,B762,762,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,1981-09-26,287,,서비스중,2,290,48.5,5.4,7200
BOEING,Boeing 767-300,B763,763,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,,862,220.3,서비스중,2,351,54.9,5.4,7200
BOEING,Boeing 767-400ER,B764,764,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,,38,,서비스중,2,375,61.4,5.4,10415
BOEING,Boeing 777-200/ 777-200ER,B772,772,LandPlane,HIGH,Wide-body airliner,Jet,2,1994-06-12,510,306.6,서비스중,2,440,63.7,18.5,9700
BOEING,Boeing 777-300,B773,773,LandPlane,HIGH,Wide-body airliner,Jet,2,1997-10-16,60,375.5,서비스중,2,550,73.9,18.5,11165
BOEING,Boeing 777-8,B778,778,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,2020-01-25,2,410.2,서비스중,2,384,69.8,19.5,16170
BOEING,Boeing 777-9,B779,779,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,,,442.2,서비스중,2,426,76.7,19.7,13500
BOEING,Boeing 777-200  Freighter,B77L,77X,LandPlane,HIGH,all-cargo version of the twinjet,Jet,2,,186,,서비스중,2,440,63.7,18.6,9200
BOEING,Boeing 777-300ER,B77W,77W,LandPlane,HIGH,Special Freighter,Jet,2,,820,,서비스중,2,550,73.7,18.5,13649
BOEING,Boeing 787-8,B788,788,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2009-12-15,374,,서비스중,2,359,56.7,16.9,13620
BOEING,Boeing 787-9,B789,789,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2013-09-17,542,,서비스중,2,406,62.8,17,14140
BOEING,Boeing 787-10,B78X,781,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2017-06-08,56,,서비스중,2,440,68.3,17,11910
AIRBUS,A220-100,BCS1,221,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,2013-09-16,40,81,서비스중,2,135,35,11.5,6297
AIRBUS,A220-300,BCS3,223,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,76,91.5,서비스중,2,160,38.7,11.5,6204
BEECH,Baron 55,BE55,,LandPlane,LOW,Civilutility aircraft,Piston,2,1960-02-29,6884,14.9,서비스중,1,5,8.5,2.9,1745
BEECH,Baron 58,BE58,,LandPlane,LOW,Civilutility aircraft,Piston,2,,,,서비스중,1,5,8.5,2.9,
BERIEV,Be-200 Altair ,BER2,,Amphibian,MEDIUM,Multiroleamphibious aircraft,Jet,2,1998-09-24,17,,서비스중,2,,32,8.9,2100
AMERICAN CHAMPION,"8KCAB Decathlon, 8GCBC Scout",BL8,,LandPlane,LOW,Lightutility aircraft,Piston,1,,,,서비스중,1,1,7,2.9,684
BOEING,Boeing 747 LCF Dreamlifter,BLCF,74B,LandPlane,HIGH,Outsize cargofreight aircraft,Jet,4,2006-09-09,4,,서비스중,2,,71.7,21.5,7800
Britten-Norman,BN-2A/B Islander,BN2P,BNI,LandPlane,LOW,Utility aircraft/airliner,Piston,2,1965-06-13,1280,3,서비스중,1,10,10.9,4.2,241
LOCKHEED,L-182 / 282 / 382 (L-100) Hercules,C130,LOH,LandPlane,MEDIUM,Transport aircraft,Turboprop/Turboshaft,4,1964-04-20,114,6,서비스중,4,,34.4,11.7,2470
CESSNA,Cessna 172,C172,CN1,LandPlane,LOW,Civilutility aircraft,Piston,1,1955-06-12,44000,0.3,서비스중,1,3,8.3,2.7,1289
CESSNA,Cessna 182 Skylane,C182,CN1,LandPlane,LOW,Light utility aircraft,Piston,1,,23237,0.5,서비스중,1,3,8.8,2.8,1720
CESSNA,Cessna 206 Stationair,C206,CN1,LandPlane,LOW,Light aircraft,Piston,1,,8509,0.7,서비스중,1,5,8.6,2.8,1350
CESSNA,Cessna 208 Caravan,C208,CN1,LandPlane,LOW,utility aircraft,Turboprop/Turboshaft,1,1982-12-09,2600,2.7,서비스중,2,9,11.5,4.5,1982
CASA / IPTN,CASA / IPTN 212 Aviocar,C212,CS2,LandPlane,MEDIUM,Medium STOLmilitary transport aircraft,Turboprop/Turboshaft,2,1971-03-26,483,8,서비스중,2,26,16.2,6.6,835
CESSNA,Cessna Citation CJ2,C25A,CNJ,LandPlane,LOW,Business jet,Jet,2,1991-04-29,,7,서비스중,1,9,14.5,4.3,3298
